exeution_time,device_id,value
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
2,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
3,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
4,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,0
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,0
2,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,0
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
1,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
3,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
0,94594bd0-4789-4258-981b-c5f8a517c47f,0
0,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
1,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
2,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
3,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
1,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
1,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
2,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
1,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
2,5167c837-c70b-4a1e-9e88-1d64446b9a01,26
2,d564aab8-09d2-4885-95cd-24ff936d635c,false
0,033b5620-60a9-49f9-8419-1e79c7c19b97,46
0,5cdb8243-b0d3-480e-ac4c-729a3329b2fa,81
0,43a50b16-34ca-42f0-998d-835efb291567,71
1,94594bd0-4789-4258-981b-c5f8a517c47f,0
1,514f5fac-1de6-4b9e-ae0d-069ce0658654,0
1,5341e96b-f6ef-470d-8c96-4e3ec2c98f5d,0
